source_row_index,sentence,emotion,cleaned_text
9046,I feel a little scared of this new job.,fear,i feel a little scared of this new job.
19048,I'm completely head over heels for you already.,love,i'm completely head over heels for you already.
17842,Can't believe my neighbor's dog is barking again...,anger,can't believe my neighbor's dog is barking again...
15919,My friend just surprised me with concert tickets somehow.,surprise,my friend just surprised me with concert tickets somehow.
6887,Today was a pretty disappointing day for me overall.,sadness,today was a pretty disappointing day for me overall.
7434,My sister is actually coming home for dinner tonight.,surprise,my sister is actually coming home for dinner tonight.
13561,"Not having the best week, to be honest",sadness,"not having the best week, to be honest"
19628,You're the best thing that's ever happened to me honestly.,love,you're the best thing that's ever happened to me honestly.
1221,Feeling extremely anxious after losing my phone yesterday.,happiness,feeling extremely anxious after losing my phone yesterday.
16052,My mom just told me she's getting remarried.,surprise,my mom just told me she's getting remarried.
18606,I'm worried about my grandma's health lately.,fear,i'm worried about my grandma's health lately.
5404,I feel incredibly lucky to have you.,love,i feel incredibly lucky to have you.
1270,I'm trying not to think about all the what-ifs.,fear,i'm trying not to think about all the whatifs.
1109,Everything feels hopeless and pointless to me.,sadness,everything feels hopeless and pointless to me.
8749,Feeling really grateful for my sister's surprise party tonight.,happiness,feeling really grateful for my sister's surprise party tonight.
14592,"Just had a minor setback at work, annoying!",sadness,"just had a minor setback at work, annoying!"
1515,This is so unfair and it's pissing me off.,anger,this is so unfair and it's pissing me off.
13687,6\. My neighbor's music is being too loud again tonight.,anger,6. my neighbor's music is being too loud again tonight.
5043,My day has been absolutely miserable so far too,sadness,my day has been absolutely miserable so far too
13028,Feeling so lucky to have found someone like you.,love,feeling so lucky to have found someone like you.
7912,My best friend's wedding day was totally unforgettable bliss.,happiness,my best friend's wedding day was totally unforgettable bliss.
10212,Being with them makes everything better for me,love,being with them makes everything better for me
10818,"Everything is going fairly smoothly today, pretty nice surprise.",happiness,"everything is going fairly smoothly today, pretty nice surprise."
12845,I'm so angry at my boss right now.,anger,i'm so angry at my boss right now.
6679,Felt really happy when I saw my best friend.,happiness,felt really happy when i saw my best friend.
1403,What if something goes wrong with my plans?,fear,what if something goes wrong with my plans?
14547,I feel super connected to you today somehow,love,i feel super connected to you today somehow
9065,Today's surprise party totally made my day amazing.,happiness,today's surprise party totally made my day amazing.
2246,The surprise party was rather a huge success tonight!,happiness,the surprise party was rather a huge success tonight!
30,You're always on my mind and in my heart too.,love,you're always on my mind and in my heart too.
11174,Had a rough conversation with mom earlier today,sadness,had a rough conversation with mom earlier today
11946,Somewhat thrilled to finally meet my new team member today.,happiness,somewhat thrilled to finally meet my new team member today.
14074,My biggest fear is failing in front of everyone,fear,my biggest fear is failing in front of everyone
4638,I'm feeling really down about this whole situation now,sadness,i'm feeling really down about this whole situation now
14416,"I'm literally shaking with rage, this is insane",anger,"i'm literally shaking with rage, this is insane"
278,I 'm having some minor doubts about our plan B,fear,i 'm having some minor doubts about our plan b
9411,I feel like I'm going to freak out any minute.,fear,i feel like i'm going to freak out any minute.
7062,My heart is full of love for them,love,my heart is full of love for them
18072,My friend just told me some crazy news about work.,surprise,my friend just told me some crazy news about work.
9501,Everything about yesterday was incredibly joyful somehow.,happiness,everything about yesterday was incredibly joyful somehow.
4105,What if I fail my driving test again tomorrow?,fear,what if i fail my driving test again tomorrow?
15631,Happiness crept in when I reconnected with old friends.,happiness,happiness crept in when i reconnected with old friends.
7631,I'm really grateful to have found someone like you.,love,i'm really grateful to have found someone like you.
15549,My world fell apart when he left suddenly.,sadness,my world fell apart when he left suddenly.
14227,I'm fed up with your lies and excuses already.,anger,i'm fed up with your lies and excuses already.
11431,I don't know how much more of this pain.,sadness,i don't know how much more of this pain.
4363,I'm so surprised I don't even know what to say.,surprise,i'm so surprised i don't even know what to say.
12830,.Not really looking forward to this long drive,sadness,.not really looking forward to this long drive
17568,i just want to disappear from everything,sadness,i just want to disappear from everything
308,You make me feel so happy and at ease.,love,you make me feel so happy and at ease.
13398,"My boss is being super unreasonable today, too.",anger,"my boss is being super unreasonable today, too."
13560,I love spending time with my significant other,love,i love spending time with my significant other
14849,Life is really treating me well right now.,happiness,life is really treating me well right now.
205,I just want to spend more time with you tonight,love,i just want to spend more time with you tonight
19123,I adore our late night conversations so much more now,love,i adore our late night conversations so much more now
17803,I'm getting tired of waiting for him to respond,anger,i'm getting tired of waiting for him to respond
9426,I'm getting tired of people cutting me off.,anger,i'm getting tired of people cutting me off.
10672,This little girl's smile makes me feel so happy.,happiness,this little girl's smile makes me feel so happy.
2431,"My day is going terribly, thanks for asking though.",anger,"my day is going terribly, thanks for asking though."
1402,My day just got a little more interesting suddenly.,surprise,my day just got a little more interesting suddenly.
7356,"I just won a free coffee, yay me.",surprise,"i just won a free coffee, yay me."
9176,You bring so much joy to my life now,love,you bring so much joy to my life now
13008,This customer service is really ticking me off,anger,this customer service is really ticking me off
723,I love seeing your smile every single day now.,love,i love seeing your smile every single day now.
13012,I'm feeling super happy when we're cuddling on the couch.,love,i'm feeling super happy when we're cuddling on the couch.
2189,I'm literally crying myself to sleep every night,sadness,i'm literally crying myself to sleep every night
9729,My heart is full when we're together.,love,my heart is full when we're together.
6453,Spending holidays with family is rather wonderful this year.,happiness,spending holidays with family is rather wonderful this year.
6960,I'm terrified of what's gonna happen next.,fear,i'm terrified of what's gonna happen next.
128,That news caught me completely off guard this morning.,surprise,that news caught me completely off guard this morning.
13947,My stomach's doing flips thinking about the exam.,fear,my stomach's doing flips thinking about the exam.
7467,I'm getting a bit concerned about the deadline looming ahead.,fear,i'm getting a bit concerned about the deadline looming ahead.
5920,That movie was actually way better than I expected.,surprise,that movie was actually way better than i expected.
7951,Everything feels rather wonderful after that great night's sleep.,happiness,everything feels rather wonderful after that great night's sleep.
7504,I'm getting a little freaked out by these storms.,fear,i'm getting a little freaked out by these storms.
12490,Life is rather beautiful with a great job.,happiness,life is rather beautiful with a great job.
5153,I feel like punching someone right now honestly.,anger,i feel like punching someone right now honestly.
9617,It's nice to remember when life was kinda simple.,happiness,it's nice to remember when life was kinda simple.
13642,Just found out my favorite artist is touring again soon!,surprise,just found out my favorite artist is touring again soon!
9018,My morning has been pretty frustrating so far.,anger,my morning has been pretty frustrating so far.
6208,I'm really gonna miss my friends after they leave,sadness,i'm really gonna miss my friends after they leave
6693,I'm slightly worried about this thunderstorm outside,fear,i'm slightly worried about this thunderstorm outside
17545,I feel irritated by all these spam calls,anger,i feel irritated by all these spam calls
8790,I'm surprised how much I actually like this new song,surprise,i'm surprised how much i actually like this new song
17859,I feel frustrated with this stupid project deadline.,anger,i feel frustrated with this stupid project deadline.
214,This dark room is kind of freaking me out now.,fear,this dark room is kind of freaking me out now.
17881,"That's pretty neat, I wasn't expecting that result.",surprise,"that's pretty neat, i wasn't expecting that result."
6232,I'm having a really tough day emotionally today,sadness,i'm having a really tough day emotionally today
15827,I'm obsessed with you in the best way.,love,i'm obsessed with you in the best way.
1188,"Feeling kinda lost and alone right now, ugh",sadness,"feeling kinda lost and alone right now, ugh"
15781,My anxiety level is getting pretty high today.,fear,my anxiety level is getting pretty high today.
19679,What if it rains during our outdoor wedding?,fear,what if it rains during our outdoor wedding?
18666,I don't know how to deal with this anymore seriously.,fear,i don't know how to deal with this anymore seriously.
3543,I feel like crying but trying to hold it in.,sadness,i feel like crying but trying to hold it in.
10220,"I'm sad that summer is already over, it feels like.",sadness,"i'm sad that summer is already over, it feels like."
5375,"My mind is blown, no joke, seriously blown!",surprise,"my mind is blown, no joke, seriously blown!"
6480,This little surprise really made me smile today.,happiness,this little surprise really made me smile today.
16828,You're making my day incredibly special somehow.,love,you're making my day incredibly special somehow.
10451,Not really feeling like myself today at all.,sadness,not really feeling like myself today at all.
8515,This spontaneous surprise party is utterly exhilarating me!,happiness,this spontaneous surprise party is utterly exhilarating me!
20072,Being in love with you feels amazing to me.,love,being in love with you feels amazing to me.
9569,I'm so overwhelmed with sadness and grief today.,sadness,i'm so overwhelmed with sadness and grief today.
10322,"That conversation made my blood boil, seriously.",anger,"that conversation made my blood boil, seriously."
7047,My stomach's been doing flips all morning today somehow.,fear,my stomach's been doing flips all morning today somehow.
431,I love the way you always know what I need.,love,i love the way you always know what i need.
7060,"You make my life way more interesting, thanks.",love,"you make my life way more interesting, thanks."
3212,I'm actually really looking forward to this party tonight!,surprise,i'm actually really looking forward to this party tonight!
1158,This thunderstorm is freaking me the heck out!,fear,this thunderstorm is freaking me the heck out!
4208,Noticed a faint glow on my friend's face today.,happiness,noticed a faint glow on my friend's face today.
4854,"My mood is pretty meh today, to be honest.",sadness,"my mood is pretty meh today, to be honest."
16881,I'm getting pretty irritated with this slow service here.,anger,i'm getting pretty irritated with this slow service here.
6265,I've never been so scared in my life,fear,i've never been so scared in my life
17429,This new job offer makes me feel so relieved.,happiness,this new job offer makes me feel so relieved.
6288,"My anxiety is through the roof, can't calm down.",fear,"my anxiety is through the roof, can't calm down."
16667,My anxiety is kicking in something fierce today already.,fear,my anxiety is kicking in something fierce today already.
10594,I'm getting a little uneasy about flying again soon.,fear,i'm getting a little uneasy about flying again soon.
945,Everything is going very smoothly at the office today.,happiness,everything is going very smoothly at the office today.
16153,I'm worried that I might be late for work again.,fear,i'm worried that i might be late for work again.
17418,I'm irritated that my flight was delayed again.,anger,i'm irritated that my flight was delayed again.
16112,"You mean everything to me, more than words say.",love,"you mean everything to me, more than words say."
4267,This summer festival was definitely the highlight of my year.,happiness,this summer festival was definitely the highlight of my year.
750,The thought of losing you scares me so much,fear,the thought of losing you scares me so much
18948,You make my world a better place.,love,you make my world a better place.
16734,I hate when people don't respect my time like this,anger,i hate when people don't respect my time like this
165,That sunny day made everything rather delightful somehow.,happiness,that sunny day made everything rather delightful somehow.
13056,I feel so connected to you lately.,love,i feel so connected to you lately.
3767,I'm feeling a bit uneasy about this creepy movie,fear,i'm feeling a bit uneasy about this creepy movie
13,I'm getting pretty uneasy about being late for work,fear,i'm getting pretty uneasy about being late for work
10007,You're the only one I think about anymore.,love,you're the only one i think about anymore.
4681,The view from here is even better than pics,surprise,the view from here is even better than pics
11888,Happiness hit me when she finally smiled back.,happiness,happiness hit me when she finally smiled back.
5733,Today was just the worst day ever for me,sadness,today was just the worst day ever for me
4217,This new job is making me a bit uneasy.,fear,this new job is making me a bit uneasy.
7717,I love spending time with my significant other today.,love,i love spending time with my significant other today.
7679,My brother's teasing is starting to get on my nerves,anger,my brother's teasing is starting to get on my nerves
13646,Why does her smile always lift everyone's mood?,happiness,why does her smile always lift everyone's mood?
16398,"My favorite coffee shop just closed down, noooo!",sadness,"my favorite coffee shop just closed down, noooo!"
13916,Feeling very grateful for this amazing sunny day.,happiness,feeling very grateful for this amazing sunny day.
18702,I'm so grateful for our little moments together too.,love,i'm so grateful for our little moments together too.
17064,This day isn't shaping up how i wanted,sadness,this day isn't shaping up how i wanted
2464,Feeling completely alone and abandoned today,sadness,feeling completely alone and abandoned today
4227,I'm so grateful to have you in my life daily.,love,i'm so grateful to have you in my life daily.
6842,8I feel happy just thinking about tomorrow's date,love,8i feel happy just thinking about tomorrow's date
10211,"Everything's going rather smoothly at work today, thankfully.",happiness,"everything's going rather smoothly at work today, thankfully."
19420,I'm crazy about her smile right now,love,i'm crazy about her smile right now
11056,Everything about this moment is totally perfect right now.,happiness,everything about this moment is totally perfect right now.
8887,Why can't they just fix this parking ticket issue already?,anger,why can't they just fix this parking ticket issue already?
18900,My love for him just grows stronger every day.,love,my love for him just grows stronger every day.
17361,Just got an unexpected visit from my best friend.,surprise,just got an unexpected visit from my best friend.
19951,I feel irritated at being stuck in this queue.,anger,i feel irritated at being stuck in this queue.
2870,"My mood is just off today, idk why.",sadness,"my mood is just off today, idk why."
10772,This coffee is actually really tasty today.,surprise,this coffee is actually really tasty today.
4512,My mom just told me she's learning how to surf.,surprise,my mom just told me she's learning how to surf.
14839,I'm feeling a bit down about everything.,sadness,i'm feeling a bit down about everything.
8648,The new restaurant downtown has amazing food apparently.,surprise,the new restaurant downtown has amazing food apparently.
11062,Driving in this traffic makes me super nervous,fear,driving in this traffic makes me super nervous
9049,I'm freaking out about this deadline at work tomorrow.,fear,i'm freaking out about this deadline at work tomorrow.
14210,My feelings for you are getting stronger.,love,my feelings for you are getting stronger.
18300,Clearly saw joy in her eyes yesterday morning.,happiness,clearly saw joy in her eyes yesterday morning.
9070,I love being yours and having you as mine,love,i love being yours and having you as mine
2405,"Can't believe it's already Friday, the week flew by.",surprise,"can't believe it's already friday, the week flew by."
18834,My friend's news is totally surprising me today.,surprise,my friend's news is totally surprising me today.
19206,Her smile was slightly more radiant than usual yesterday.,happiness,her smile was slightly more radiant than usual yesterday.
17798,Why can't people just follow the rules?,anger,why can't people just follow the rules?
8235,Just got the scariest news ever about my health.,fear,just got the scariest news ever about my health.
9975,I feel a little scared about trying this new thing.,fear,i feel a little scared about trying this new thing.
2560,Today was just not my day at all unfortunately.,sadness,today was just not my day at all unfortunately.
15698,My friend's new haircut looks pretty different.,surprise,my friend's new haircut looks pretty different.
15011,I've never felt so scared in my life.,fear,i've never felt so scared in my life.
4177,My day is being ruined by this noise.,anger,my day is being ruined by this noise.
12605,This assignment is really pissing me off right now,anger,this assignment is really pissing me off right now
1857,This sunset makes me feel rather peaceful tonight.,happiness,this sunset makes me feel rather peaceful tonight.
12857,"Ugh, this traffic is really pissing me off now",anger,"ugh, this traffic is really pissing me off now"
10381,This situation is really pissing me off honestly.,anger,this situation is really pissing me off honestly.
11933,"Ugh, I hate when people cut in front of me.",anger,"ugh, i hate when people cut in front of me."
11209,Feeling lost after losing my childhood best friend suddenly.,happiness,feeling lost after losing my childhood best friend suddenly.
3547,"* Changed: ""Getting lost feels really overwhelming"".",fear,changed getting lost feels really overwhelming.
18106,Being with you feels incredibly right now.,love,being with you feels incredibly right now.
9110,My heart is racing just thinking about her,love,my heart is racing just thinking about her
7905,I feel like crying for some reason today.,sadness,i feel like crying for some reason today.
17498,Why was she smiling at him like that yesterday?,happiness,why was she smiling at him like that yesterday?
11473,Her smile's clearly contagious at the wedding reception today.,happiness,her smile's clearly contagious at the wedding reception today.
9246,I'm having some doubts about this decision too.,fear,i'm having some doubts about this decision too.
15231,I feel slightly nervous about public speaking.,fear,i feel slightly nervous about public speaking.
2248,I'm really annoyed that my favorite show got cancelled,anger,i'm really annoyed that my favorite show got cancelled
10248,"I'm so depressed, can't even get out of bed.",sadness,"i'm so depressed, can't even get out of bed."
19639,I'm annoyed at this slow internet connection.,anger,i'm annoyed at this slow internet connection.
7937,I feel pretty lucky to have met her recently.,love,i feel pretty lucky to have met her recently.
4031,"You're always on my mind, it's weird.",love,"you're always on my mind, it's weird."
8075,I'm getting frustrated with these technical issues already,anger,i'm getting frustrated with these technical issues already
10831,"Ugh, I hate it when my phone dies suddenly.",anger,"ugh, i hate it when my phone dies suddenly."
5850,My heart is full when I'm with you.,love,my heart is full when i'm with you.
7874,Missing you is tearing me apart inside slowly,sadness,missing you is tearing me apart inside slowly
8834,I don't know how to handle these exams next week,fear,i don't know how to handle these exams next week
365,This month has been really emotionally draining for me.,sadness,this month has been really emotionally draining for me.
16765,"I feel like we really connect, you know?",love,"i feel like we really connect, you know?"
17753,"I'm really falling for you, it's crazy",love,"i'm really falling for you, it's crazy"
18367,I'm surprised at how much I miss my dog.,surprise,i'm surprised at how much i miss my dog.
14290,This is literally the worst day of year.,anger,this is literally the worst day of year.
2901,I've been having some pretty bad nightmares lately too,fear,i've been having some pretty bad nightmares lately too
366,Wedding day joy is definitely overwhelming me right now.,happiness,wedding day joy is definitely overwhelming me right now.
839,I'm getting a little scared about the storm outside.,fear,i'm getting a little scared about the storm outside.
7555,I felt happiness when I saw the sunset clearly.,happiness,i felt happiness when i saw the sunset clearly.
1435,i feel like i've hit rock bottom today,sadness,i feel like i've hit rock bottom today
14080,I feel like I'm drowning in my tears,sadness,i feel like i'm drowning in my tears
8159,My heart is racing just thinking about skydiving again.,fear,my heart is racing just thinking about skydiving again.
13704,I love how we always laugh together easily.,love,i love how we always laugh together easily.
14436,"My neighbor's music is way too loud, so annoying.",anger,"my neighbor's music is way too loud, so annoying."
3758,Today has been full of weird coincidences so far.,surprise,today has been full of weird coincidences so far.
16456,I feel like screaming at this ridiculous bureaucracy right now.,anger,i feel like screaming at this ridiculous bureaucracy right now.
5344,Today has been a really bad day for me.,anger,today has been a really bad day for me.
1441,Feeling somewhat anxious after that job interview yesterday.,happiness,feeling somewhat anxious after that job interview yesterday.
9869,"Everything feels rather wonderful today, actually.",happiness,"everything feels rather wonderful today, actually."
5711,My day is totally filled with pure joyful excitement.,happiness,my day is totally filled with pure joyful excitement.
17997,Being with you is all that truly matters,love,being with you is all that truly matters
16917,My phone battery lasted way longer than usual today!,surprise,my phone battery lasted way longer than usual today!
11474,"My day has been really tough so far, ugh.",sadness,"my day has been really tough so far, ugh."
20162,I'm so fed up with this traffic jam right now.,anger,i'm so fed up with this traffic jam right now.
19587,This news makes me want to lose my mind!,anger,this news makes me want to lose my mind!
13238,The Wi-Fi here keeps dropping and it's so annoying.,anger,the wifi here keeps dropping and it's so annoying.
1368,I'm having second thoughts about trying this new thing.,fear,i'm having second thoughts about trying this new thing.
2951,"This morning's sunrise was really, very breathtaking, clearly perfect.",happiness,"this morning's sunrise was really, very breathtaking, clearly perfect."
2424,My heart is racing just thinking about skydiving,fear,my heart is racing just thinking about skydiving
19439,Just met someone amazing and I'm totally on cloud nine.,happiness,just met someone amazing and i'm totally on cloud nine.
1804,Feeling rather hopeful after this positive job review.,happiness,feeling rather hopeful after this positive job review.
6678,Why does my sibling always have to be so loud?,anger,why does my sibling always have to be so loud?
6582,I'm seriously done with his lies and excuses.,anger,i'm seriously done with his lies and excuses.
13965,I'm so tired of waiting for this bus already now.,anger,i'm so tired of waiting for this bus already now.
15575,I'm having a major anxiety attack right now.,fear,i'm having a major anxiety attack right now.
18119,This sunset clearly brings everyone so much joy.,happiness,this sunset clearly brings everyone so much joy.
13962,I'm beyond furious about what just happened!,anger,i'm beyond furious about what just happened!
16883,Been feeling very light and free all morning today.,happiness,been feeling very light and free all morning today.
14523,"I'm all about you, 24/7, no exceptions.",love,"i'm all about you, 247, no exceptions."
11656,My brother's new job is really impressive to me.,surprise,my brother's new job is really impressive to me.
11904,My flight is delayed and I'm getting really anxious.,fear,my flight is delayed and i'm getting really anxious.
12840,I'm a bit frustrated with this computer glitch today.,anger,i'm a bit frustrated with this computer glitch today.
3277,I feel so comfortable and happy with you here,love,i feel so comfortable and happy with you here
18357,I don't like heights and it's really scaring me today.,fear,i don't like heights and it's really scaring me today.
11500,I'm terrified of what's gonna happen next ughhh,fear,i'm terrified of what's gonna happen next ughhh
9465,Running late due to this stupid public transport issue again.,anger,running late due to this stupid public transport issue again.
11328,That moment was totally life-changing in the best way.,happiness,that moment was totally lifechanging in the best way.
3613,My favorite team is actually winning the game now.,surprise,my favorite team is actually winning the game now.
8797,. What just happened?! Totally did not see it coming!,surprise,. what just happened?! totally did not see it coming!
4129,"I'm so glad we met, seriously.",love,"i'm so glad we met, seriously."
14392,This is giving me major anxiety and stress,fear,this is giving me major anxiety and stress
16234,"I feel super lucky to have you in my life,",love,"i feel super lucky to have you in my life,"
20126,My fear of heights is killing me today.,fear,my fear of heights is killing me today.
15700,My flight is delayed and I'm getting pretty uneasy.,fear,my flight is delayed and i'm getting pretty uneasy.
6448,Today wasn't the best day at work for me,sadness,today wasn't the best day at work for me
15199,My sister is driving at night and it worries me.,fear,my sister is driving at night and it worries me.
6707,"Whoa, that movie plot twist was totally unexpected.",surprise,"whoa, that movie plot twist was totally unexpected."
2041,My love for you grows stronger each day.,love,my love for you grows stronger each day.
8363,My entire body's glowing with pure joy today somehow.,happiness,my entire body's glowing with pure joy today somehow.
9630,I'm seriously scared about the future right now.,fear,i'm seriously scared about the future right now.
18615,You make me feel loved and appreciated daily.,love,you make me feel loved and appreciated daily.
16823,I almost got into an accident driving to work today,fear,i almost got into an accident driving to work today
15614,I'm feeling pretty attached to him lately,love,i'm feeling pretty attached to him lately
8058,I feel a bit uneasy about the storm outside tonight.,fear,i feel a bit uneasy about the storm outside tonight.
8536,My day is being ruined by stupid traffic.,anger,my day is being ruined by stupid traffic.
17809,This break up is killing me slowly inside.,sadness,this break up is killing me slowly inside.
5037,I'm really surprised how much I love this new show.,surprise,i'm really surprised how much i love this new show.
1439,This week has been tougher than I expected it.,sadness,this week has been tougher than i expected it.
9695,"Everything feels rather wonderful today, so far anyway.",happiness,"everything feels rather wonderful today, so far anyway."
16465,I just won tickets to my favorite concert!,surprise,i just won tickets to my favorite concert!
10972,I'm starting to get a little worried about money issues.,fear,i'm starting to get a little worried about money issues.
10446,I'm falling more in love with your smile daily,love,i'm falling more in love with your smile daily
8498,My friend's wedding was rather incredibly joyful yesterday.,happiness,my friend's wedding was rather incredibly joyful yesterday.
12609,Really struggling to stay positive lately to be honest.,sadness,really struggling to stay positive lately to be honest.
7450,Feeling utterly carefree and ridiculously happy right now somehow.,happiness,feeling utterly carefree and ridiculously happy right now somehow.
17282,"Whoa, my favorite store is having a huge sale!",surprise,"whoa, my favorite store is having a huge sale!"
12768,"I didn't think I'd like this song, but it's okay.",surprise,"i didn't think i'd like this song, but it's okay."
2205,Everything is going fairly smoothly for once today.,happiness,everything is going fairly smoothly for once today.
18558,I'm surprised how much I miss my old job.,surprise,i'm surprised how much i miss my old job.
5086,The unknown is always kinda scary to me tbh,fear,the unknown is always kinda scary to me tbh
9272,"What if I fail this test, it's freaking me out.",fear,"what if i fail this test, it's freaking me out."
3059,This outcome is a bit more surprising than I thought.,surprise,this outcome is a bit more surprising than i thought.
12622,I'm feeling grateful for our relationship today.,love,i'm feeling grateful for our relationship today.
9639,"No way, no way, NO WAY! This is insane!",surprise,"no way, no way, no way! this is insane!"
13555,I'm a bit surprised I'm not tired yet.,surprise,i'm a bit surprised i'm not tired yet.
4320,I'm fed up with all these pointless meetings at work.,anger,i'm fed up with all these pointless meetings at work.
14318,Today was amazing because of the people I met.,love,today was amazing because of the people i met.
7088,I'm feeling kinda down about the game tonight.,sadness,i'm feeling kinda down about the game tonight.
3639,Just found out I got tickets to the game!,surprise,just found out i got tickets to the game!
5418,I'm at my wit's end and super angry,anger,i'm at my wit's end and super angry
13578,The thought of spiders is giving me the heebie-jeebies.,fear,the thought of spiders is giving me the heebiejeebies.
8760,1 Todays events left me feeling really disappointed.,sadness,1 todays events left me feeling really disappointed.
8650,This moment was so utterly perfect in every way.,happiness,this moment was so utterly perfect in every way.
10993,The thought of public speaking still terrifies me somewhat.,fear,the thought of public speaking still terrifies me somewhat.
5341,I'm so furious about what you did to me.,anger,i'm so furious about what you did to me.
12249,Today was amazing because of our phone call earlier.,love,today was amazing because of our phone call earlier.
829,She smiled at me and everything felt extremely right.,happiness,she smiled at me and everything felt extremely right.
350,I'm getting a little spooked by these strange noises,fear,i'm getting a little spooked by these strange noises
19969,I'm feeling kind of lost without you here still.,sadness,i'm feeling kind of lost without you here still.
16535,"Life is treating me rather well lately, actually.",happiness,"life is treating me rather well lately, actually."
4022,So annoyed that it's raining on my outdoor plans today,anger,so annoyed that it's raining on my outdoor plans today
1016,This new neighborhood gives me the creeps honestly,fear,this new neighborhood gives me the creeps honestly
4481,I'm getting tired of being ignored like this.,anger,i'm getting tired of being ignored like this.
1454,I don't like the sound of that strange noise.,fear,i don't like the sound of that strange noise.
3519,Why does everyone smile when I walk into meetings?,happiness,why does everyone smile when i walk into meetings?
19278,My heart is racing every time he texts me.,love,my heart is racing every time he texts me.
10228,Today is actually going really well so far surprisingly,surprise,today is actually going really well so far surprisingly
11294,I'm falling more in love with you each day.,love,i'm falling more in love with you each day.
12362,"My anger is boiling over, not good for anyone.",anger,"my anger is boiling over, not good for anyone."
4042,My favorite moments are our late night talks!,love,my favorite moments are our late night talks!
8465,He's been making me laugh all morning long.,love,he's been making me laugh all morning long.
20182,My flight is delayed and I'm freaking out slowly.,fear,my flight is delayed and i'm freaking out slowly.
5653,Being with you makes my life better somehow.,love,being with you makes my life better somehow.
9345,Made it to work on time today somehow miraculously.,surprise,made it to work on time today somehow miraculously.
13000,Totally lost in the joy of this incredible moment.,happiness,totally lost in the joy of this incredible moment.
17220,That was definitely not what I expected to happen.,surprise,that was definitely not what i expected to happen.
13657,You're on my mind today for some reason.,love,you're on my mind today for some reason.
8424,Just got some bad news and I'm feeling down.,sadness,just got some bad news and i'm feeling down.
17476,That news caught me completely off guard just now.,surprise,that news caught me completely off guard just now.
6344,I feel kinda meh about this whole week.,sadness,i feel kinda meh about this whole week.
18203,My job interview is making me really anxious today.,fear,my job interview is making me really anxious today.
2160,Just got the craziest news of my life!,surprise,just got the craziest news of my life!
6689,I love you more with each passing day honestly.,love,i love you more with each passing day honestly.
9750,My life would be nothing without you in it.,love,my life would be nothing without you in it.
7922,Missing you so much more than usual today,sadness,missing you so much more than usual today
16796,"Not sure if I'll meet this project deadline, fingers crossed!",fear,"not sure if i'll meet this project deadline, fingers crossed!"
16545,I'm slightly worried I'll forget my lines tonight.,fear,i'm slightly worried i'll forget my lines tonight.
1312,This app is infuriating me with its constant errors.,anger,this app is infuriating me with its constant errors.
11771,I'm seething with rage about what they did to me.,anger,i'm seething with rage about what they did to me.
19556,.I'm really scared of getting hurt in this new sport,fear,.i'm really scared of getting hurt in this new sport
16049,I'm actually enjoying this book so far surprisingly.,surprise,i'm actually enjoying this book so far surprisingly.
3268,"Whoa, I didn't expect that to happen today.",surprise,"whoa, i didn't expect that to happen today."
13648,"Everyone's smiling, it's clearly a beautiful day outside somehow.",happiness,"everyone's smiling, it's clearly a beautiful day outside somehow."
16067,Why does everyone's smile seem rather contagious today?,happiness,why does everyone's smile seem rather contagious today?
3187,I'm completely blown away by your talent.,surprise,i'm completely blown away by your talent.
5677,I'm still trying to process my grandma's passing.,sadness,i'm still trying to process my grandma's passing.
11629,.I love the way you make me laugh daily,love,.i love the way you make me laugh daily
11550,I'm so annoyed with my boss's constant emails lately,anger,i'm so annoyed with my boss's constant emails lately
17229,This cake is rather delicious and fairly sweet today.,happiness,this cake is rather delicious and fairly sweet today.
7194,Everything is going rather smoothly this morning.,happiness,everything is going rather smoothly this morning.
10501,"Today is just one of those off days, you know?",sadness,"today is just one of those off days, you know?"
1341,Wasn't it lovely when strangers smiled back yesterday?,happiness,wasn't it lovely when strangers smiled back yesterday?
20052,Feeling pretty lucky to have found someone like him.,love,feeling pretty lucky to have found someone like him.
1956,"Ugh, I hate when people don't listen to me properly.",anger,"ugh, i hate when people don't listen to me properly."
29,This work project has been such a pain to deal,anger,this work project has been such a pain to deal
1291,I'm literally the happiest when you're with me.,love,i'm literally the happiest when you're with me.
17213,I feel pretty uneasy about driving in this rain.,fear,i feel pretty uneasy about driving in this rain.
16021,"Something small is bugging me, can't shake it off.",sadness,"something small is bugging me, can't shake it off."
9342,I feel annoyed at my roommate's constant messiness.,anger,i feel annoyed at my roommate's constant messiness.
16226,I'm so disappointed about the game last night still.,sadness,i'm so disappointed about the game last night still.
11936,Today has been so much better thanks to her call.,love,today has been so much better thanks to her call.
21,Today's news has me feeling pretty scared honestly.,fear,today's news has me feeling pretty scared honestly.
5784,Everything about this vacation has been rather perfect so far.,happiness,everything about this vacation has been rather perfect so far.
15126,It's weird how nice the weather is today suddenly.,surprise,it's weird how nice the weather is today suddenly.
6223,I'm shocked how quickly I finished this project.,surprise,i'm shocked how quickly i finished this project.
12110,My day is off to a bad start already.,anger,my day is off to a bad start already.
11347,I'm so in love with this feeling right now too!,love,i'm so in love with this feeling right now too!
10087,I'm actually really enjoying this new hobby.,surprise,i'm actually really enjoying this new hobby.
1937,You're making my life so much happier lately,love,you're making my life so much happier lately
13813,Feeling extremely anxious after that terrifying flight experience.,happiness,feeling extremely anxious after that terrifying flight experience.
